user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase,age_group,pages_per_minute
31,32,Female,Mobile,24.54,7,13,5,0,1,0,17.55,28.79,1,Millennials / Young Adults,0.29
32,20,Female,Mobile,23.71,8,11,6,0,1,1,33.43,95.59,1,Gen Z / Youth,0.34
33,54,Male,Tablet,20.78,10,1,1,1,0,1,26.68,55.7,1,Gen X / Middle Aged,0.48
34,24,Male,Mobile,13.75,3,4,5,0,1,1,7.82,92.07,1,Gen Z / Youth,0.22
35,38,Male,Mobile,29.52,3,6,5,1,0,0,24.92,98.42,1,Millennials / Young Adults,0.1
36,26,Male,Mobile,17.5,10,3,8,0,1,1,26.17,36.02,1,Millennials / Young Adults,0.57
37,56,Male,Mobile,6.88,15,12,7,0,1,1,6.12,57.65,1,Gen X / Middle Aged,2.18
38,35,Female,Mobile,9.49,13,5,4,0,1,0,11.04,84.67,1,Millennials / Young Adults,1.37
39,21,Unknown,Mobile,21.11,19,11,6,1,1,0,12.68,27.27,1,Gen Z / Youth,0.9
40,42,Male,Mobile,27.82,8,2,6,0,1,0,22.56,44.68,1,Millennials / Young Adults,0.29
41,31,Male,Mobile,6.18,18,3,4,1,0,0,8.54,15.33,1,Millennials / Young Adults,2.91
42,26,Male,Mobile,3.39,5,3,6,1,0,1,3.43,65.25,1,Millennials / Young Adults,1.47
43,43,Female,Mobile,26.56,7,14,2,1,0,1,35.19,0.42,1,Millennials / Young Adults,0.26
44,19,Female,Mobile,27.54,5,3,6,1,1,1,14.305,44.93,1,Gen Z / Youth,0.18
45,37,Female,Desktop,9.02,19,11,5,0,1,1,10.52,92.91,1,Millennials / Young Adults,2.11
46,45,Male,Mobile,11.94,17,7,5,1,0,1,9.55,89.73,1,Millennials / Young Adults,1.42
47,24,Male,Desktop,20.15,19,12,1,0,1,0,27.42,80.38,1,Gen Z / Youth,0.94
48,25,Male,Desktop,10.57,4,3,1,1,1,0,15.26,14.12,1,Gen Z / Youth,0.38
49,52,Male,Desktop,26.44,7,3,6,1,1,0,31.4,52.03,1,Gen X / Middle Aged,0.26
50,31,Female,Mobile,4.12,6,5,0,1,0,1,2.66,71.91,1,Millennials / Young Adults,1.46
51,34,Male,Mobile,2.1,14,8,8,1,0,0,2.03,10.12,1,Millennials / Young Adults,6.67
52,53,Male,Mobile,7.05,19,9,2,0,1,1,6.8,14.7,1,Gen X / Middle Aged,2.7
53,57,Male,Desktop,9.3,11,5,5,1,0,0,12.37,4.01,1,Gen X / Middle Aged,1.18
54,21,Female,Mobile,4.27,7,5,2,1,1,0,4.1,32.31,1,Gen Z / Youth,1.64
55,19,Female,Desktop,2.91,3,6,8,0,0,1,2.42,87.73,1,Gen Z / Youth,1.03
56,23,Male,Desktop,15.76,17,6,9,1,0,0,25.46,50.75,1,Gen Z / Youth,1.08
57,59,Female,Mobile,5.76,11,0,6,1,0,1,6.61,85.33,1,Gen X / Middle Aged,1.91
58,21,Female,Mobile,27.5,15,7,0,1,0,0,36.02,8.37,1,Gen Z / Youth,0.55
59,46,Female,Desktop,11.67,7,0,3,1,1,0,16.34,5.61,1,Gen X / Middle Aged,0.6
60,35,Female,Mobile,20.45,15,14,4,0,0,0,28.42,80.39,1,Millennials / Young Adults,0.73
61,43,Female,Mobile,7.54,17,8,6,0,0,1,8.5,49.78,1,Millennials / Young Adults,2.25
62,51,Male,Desktop,7.97,11,13,6,0,1,0,8.16,47.09,1,Gen X / Middle Aged,1.38
63,27,Male,Mobile,17.67,12,13,4,0,1,1,22.99,47.56,1,Millennials / Young Adults,0.68
64,53,Male,Tablet,15.76,13,14,0,1,0,0,13.93,38.11,1,Gen X / Middle Aged,0.82
65,31,Female,Desktop,23.29,11,3,4,1,1,1,29.3,88.64,1,Millennials / Young Adults,0.47
66,48,Female,Desktop,22.98,11,8,4,0,0,1,23.12,52.1,1,Gen X / Middle Aged,0.48
67,32,Female,Mobile,20.45,9,7,3,1,0,0,12.75,97.39,1,Millennials / Young Adults,0.44
68,25,Female,Mobile,14.02,11,8,5,1,0,1,17.57,84.65,1,Gen Z / Youth,0.78
69,31,Male,Mobile,26.83,4,14,7,0,0,1,30.81,73.76,1,Millennials / Young Adults,0.15
70,40,Male,Mobile,19.05,2,13,9,0,1,1,11.1,63.62,1,Millennials / Young Adults,0.1
71,57,Male,Mobile,29.72,4,5,4,0,1,1,28.24,83.52,1,Gen X / Middle Aged,0.13
72,38,Male,Mobile,24.76,14,8,7,1,0,1,24.43,88.17,1,Millennials / Young Adults,0.57
73,33,Male,Mobile,2.28,5,3,4,1,1,0,2.63,13.32,0,Millennials / Young Adults,2.19
74,35,Male,Mobile,10.3,17,2,2,1,1,0,12.14,35.97,1,Millennials / Young Adults,1.65
75,41,Female,Desktop,17.58,12,2,7,1,0,0,12.14,80.54,0,Millennials / Young Adults,0.68
76,43,Female,Mobile,21.92,6,7,3,1,0,1,11.7,22.13,1,Millennials / Young Adults,0.27
77,42,Male,Mobile,16.96,12,1,2,1,0,1,21.95,58.62,1,Millennials / Young Adults,0.71
78,58,Female,Desktop,23.8,15,11,2,0,0,1,35.26,78.05,1,Gen X / Middle Aged,0.63
79,46,Male,Tablet,15.76,19,5,5,0,1,1,13.25,22.39,0,Gen X / Middle Aged,1.21
80,32,Male,Mobile,6.33,10,8,7,0,0,1,6.34,40.2,1,Millennials / Young Adults,1.58
81,18,Female,Mobile,2.56,2,14,9,0,0,0,2.63,91.51,1,Gen Z / Youth,0.78
82,42,Male,Mobile,17.63,12,8,4,1,1,1,25.22,35.6,1,Millennials / Young Adults,0.68
83,24,Male,Tablet,20.97,12,7,0,0,0,0,21.9,60.47,1,Gen Z / Youth,0.57
84,26,Male,Desktop,10.46,7,7,0,0,0,0,8.13,43.38,1,Millennials / Young Adults,0.67
85,41,Female,Desktop,18.79,1,0,2,0,1,1,22.13,87.7,1,Millennials / Young Adults,0.05
86,18,Female,Mobile,2.51,18,10,5,0,1,1,2.45,42.41,1,Gen Z / Youth,7.17
87,25,Unknown,Mobile,3.88,3,6,1,1,0,0,14.305,49.315,1,Gen Z / Youth,0.77
88,41,Female,Mobile,21.35,5,13,0,0,0,0,27.4,17.33,1,Millennials / Young Adults,0.23
89,28,Male,Desktop,11.67,15,14,6,1,1,1,16.76,34.92,1,Millennials / Young Adults,1.29
90,34,Female,Desktop,20.47,10,0,1,0,0,1,13.06,66.96,1,Millennials / Young Adults,0.49
91,25,Female,Tablet,25.12,19,8,7,1,1,0,25.66,17.58,1,Gen Z / Youth,0.76
92,52,Female,Unknown,25.73,1,2,1,0,1,0,33.09,70.54,1,Gen X / Middle Aged,0.04
93,52,Male,Mobile,5.99,7,0,0,1,0,0,5.6,1.06,1,Gen X / Middle Aged,1.17
94,50,Female,Mobile,15.1,18,7,9,1,1,0,17.02,36.7,1,Gen X / Middle Aged,1.19
95,22,Female,Desktop,22.28,2,6,1,1,0,0,29.34,46.59,1,Gen Z / Youth,0.09
96,59,Male,Desktop,23.45,19,1,1,0,1,1,22.83,9.61,1,Gen X / Middle Aged,0.81
97,56,Unknown,Mobile,23.76,10,13,6,0,1,1,21.58,68.41,1,Gen X / Middle Aged,0.42
98,58,Male,Mobile,7.62,15,6,0,0,0,1,5.19,10.28,1,Gen X / Middle Aged,1.97
99,45,Male,Mobile,6.58,10,4,2,1,0,0,8.72,9.0,1,Millennials / Young Adults,1.52
100,24,Female,Mobile,18.11,10,14,4,1,1,1,23.47,36.79,1,Gen Z / Youth,0.55
101,26,Male,Desktop,22.49,12,6,6,1,0,1,27.96,73.83,1,Millennials / Young Adults,0.53
102,25,Female,Mobile,10.26,8,9,5,0,1,1,9.17,96.37,1,Gen Z / Youth,0.78
103,29,Female,Desktop,4.04,14,7,7,0,0,0,4.38,77.6,1,Millennials / Young Adults,3.47
104,51,Female,Mobile,21.79,2,6,0,1,0,1,13.6,46.6,1,Gen X / Middle Aged,0.09
105,50,Female,Desktop,9.69,17,1,6,0,0,1,7.94,27.26,1,Gen X / Middle Aged,1.75
106,40,Female,Mobile,5.82,6,1,8,1,0,0,5.44,30.14,1,Millennials / Young Adults,1.03
107,41,Male,Desktop,5.28,8,14,6,0,1,1,2.87,28.37,1,Millennials / Young Adults,1.52
108,54,Female,Mobile,10.13,1,6,5,1,0,0,6.11,27.83,1,Gen X / Middle Aged,0.1
109,52,Female,Mobile,18.19,3,2,8,1,0,0,24.19,6.91,1,Gen X / Middle Aged,0.16
110,57,Female,Mobile,11.39,15,3,3,1,0,0,16.76,22.04,1,Gen X / Middle Aged,1.32
111,39,Male,Mobile,1.6,17,14,9,0,0,0,1.32,10.79,1,Millennials / Young Adults,10.62
112,39,Female,Mobile,3.81,7,13,5,0,0,0,2.31,0.74,1,Millennials / Young Adults,1.84
113,52,Female,Mobile,9.42,14,6,5,1,0,1,13.52,28.56,1,Gen X / Middle Aged,1.49
114,18,Male,Tablet,20.13,3,13,9,0,0,1,28.47,35.22,1,Gen Z / Youth,0.15
115,52,Female,Mobile,3.86,18,1,2,0,1,1,4.46,92.74,1,Gen X / Middle Aged,4.66
116,54,Female,Desktop,17.26,5,7,6,1,1,1,14.47,99.48,1,Gen X / Middle Aged,0.29
117,31,Male,Tablet,15.76,15,1,0,0,0,0,2.74,57.94,1,Millennials / Young Adults,0.95
119,18,Female,Desktop,5.99,3,10,7,0,0,1,8.51,61.82,1,Gen Z / Youth,0.5
120,22,Female,Mobile,2.95,18,0,7,0,1,0,3.67,49.76,1,Gen Z / Youth,6.1
121,43,Female,Mobile,20.47,3,11,5,1,0,0,29.35,4.27,1,Millennials / Young Adults,0.15
122,31,Female,Mobile,14.44,8,11,3,0,0,0,9.24,4.46,1,Millennials / Young Adults,0.55
123,56,Male,Tablet,25.1,19,2,5,0,0,1,15.29,3.08,1,Gen X / Middle Aged,0.76
124,44,Male,Mobile,3.87,18,9,5,0,1,0,2.68,15.01,1,Millennials / Young Adults,4.65
125,26,Male,Mobile,5.2,15,3,1,1,0,0,3.72,7.69,1,Millennials / Young Adults,2.88
126,32,Female,Mobile,9.89,14,4,5,1,0,0,13.13,19.47,1,Millennials / Young Adults,1.42
127,32,Female,Desktop,23.21,16,14,7,1,0,0,33.0,51.92,1,Millennials / Young Adults,0.69
128,43,Female,Mobile,9.87,3,2,3,0,0,1,7.06,50.32,1,Millennials / Young Adults,0.3
129,59,Male,Desktop,12.84,15,8,4,1,0,1,12.36,34.42,1,Gen X / Middle Aged,1.17
130,30,Female,Desktop,9.75,19,4,7,0,1,0,9.31,66.6,1,Millennials / Young Adults,1.95
131,49,Female,Desktop,3.33,8,6,2,1,1,1,2.26,39.19,1,Gen X / Middle Aged,2.4
132,56,Female,Tablet,28.24,2,14,5,1,1,1,38.22,22.02,1,Gen X / Middle Aged,0.07
133,49,Male,Desktop,16.91,17,13,0,0,0,0,17.29,69.22,1,Gen X / Middle Aged,1.01
134,21,Male,Mobile,23.85,12,10,3,1,0,0,25.43,98.02,1,Gen Z / Youth,0.5
135,47,Female,Mobile,20.09,10,12,5,1,0,1,15.24,81.07,1,Gen X / Middle Aged,0.5
136,54,Female,Mobile,15.91,11,6,2,1,1,0,16.85,41.41,1,Gen X / Middle Aged,0.69
137,40,Female,Mobile,3.6,18,10,0,1,0,1,14.305,37.57,0,Millennials / Young Adults,5.0
138,56,Male,Mobile,19.64,13,8,5,1,1,0,15.81,3.86,1,Gen X / Middle Aged,0.66
139,32,Male,Mobile,5.51,14,1,2,0,0,1,3.38,65.71,1,Millennials / Young Adults,2.54
140,46,Male,Mobile,13.02,12,2,7,0,0,1,14.11,22.26,1,Gen X / Middle Aged,0.92
141,53,Female,Tablet,19.24,15,3,6,1,1,1,21.85,68.35,1,Gen X / Middle Aged,0.78
142,30,Male,Mobile,23.68,8,7,6,0,0,1,16.62,76.02,1,Millennials / Young Adults,0.34
143,49,Female,Tablet,20.87,2,0,7,0,0,0,15.62,87.98,1,Gen X / Middle Aged,0.1
144,24,Female,Mobile,20.47,8,8,6,1,1,0,13.37,54.83,0,Gen Z / Youth,0.39
145,39,Male,Desktop,5.32,5,4,4,1,1,1,7.56,83.0,1,Millennials / Young Adults,0.94
146,45,Female,Desktop,11.04,2,3,9,0,1,0,7.87,72.32,1,Millennials / Young Adults,0.18
147,19,Male,Mobile,2.24,10,12,7,1,0,0,1.14,35.3,1,Gen Z / Youth,4.46
148,59,Female,Mobile,21.86,10,7,7,0,0,1,29.3,10.64,1,Gen X / Middle Aged,0.46
149,23,Female,Mobile,28.62,4,13,7,0,1,1,37.3,24.22,1,Gen Z / Youth,0.14
150,45,Male,Mobile,8.66,4,8,9,1,1,1,8.28,84.46,1,Millennials / Young Adults,0.46
151,45,Female,Tablet,3.54,8,2,5,1,0,1,4.59,53.44,1,Millennials / Young Adults,2.26
152,37,Female,Desktop,14.79,6,13,1,0,0,1,14.04,66.56,1,Millennials / Young Adults,0.41
153,47,Female,Mobile,25.84,15,3,7,0,0,1,18.72,80.61,1,Gen X / Middle Aged,0.58
154,28,Female,Mobile,17.01,18,0,9,1,0,1,15.75,66.7,1,Millennials / Young Adults,1.06
155,45,Unknown,Mobile,2.36,8,14,0,1,0,0,2.33,85.61,1,Millennials / Young Adults,3.39
156,42,Female,Mobile,29.25,7,11,8,1,1,0,14.89,8.64,1,Millennials / Young Adults,0.24
157,56,Female,Desktop,25.03,17,13,8,1,0,1,15.35,90.36,1,Gen X / Middle Aged,0.68
158,50,Female,Mobile,4.82,19,2,5,1,0,0,6.63,81.26,1,Gen X / Middle Aged,3.94
159,18,Male,Mobile,27.73,2,9,9,1,1,1,24.75,90.3,1,Gen Z / Youth,0.07
160,44,Male,Mobile,14.07,12,4,5,0,1,1,11.7,73.09,1,Millennials / Young Adults,0.85
161,30,Female,Mobile,11.79,19,14,5,0,0,0,16.37,27.44,1,Millennials / Young Adults,1.61
162,58,Female,Desktop,14.37,5,12,3,1,0,1,9.41,11.39,1,Gen X / Middle Aged,0.35
163,20,Male,Mobile,25.2,12,7,0,0,0,0,18.07,12.96,1,Gen Z / Youth,0.48
164,56,Female,Tablet,20.12,17,13,0,0,1,1,26.72,49.89,1,Gen X / Middle Aged,0.84
165,23,Male,Unknown,15.76,5,0,0,0,0,1,2.12,39.09,1,Gen Z / Youth,0.32
166,25,Male,Mobile,28.77,2,0,4,0,0,0,32.6,65.42,1,Gen Z / Youth,0.07
167,44,Male,Mobile,5.29,4,2,6,0,0,1,6.56,50.33,1,Millennials / Young Adults,0.76
168,26,Female,Desktop,22.62,6,8,0,0,1,1,16.35,12.53,1,Millennials / Young Adults,0.27
169,54,Female,Tablet,19.45,9,8,0,0,0,1,14.65,0.22,1,Gen X / Middle Aged,0.46
170,50,Female,Desktop,6.44,10,0,5,0,0,1,6.54,12.83,1,Gen X / Middle Aged,1.55
171,59,Male,Mobile,5.95,11,3,1,1,0,0,7.69,14.67,1,Gen X / Middle Aged,1.85
172,41,Male,Tablet,26.24,2,11,1,1,0,0,27.67,71.99,1,Millennials / Young Adults,0.08
173,32,Male,Mobile,13.17,9,7,6,1,1,0,7.47,28.53,1,Millennials / Young Adults,0.68
174,49,Female,Desktop,19.98,17,1,8,1,0,0,17.0,9.36,1,Gen X / Middle Aged,0.85
175,49,Male,Tablet,15.62,10,3,7,0,1,0,12.97,75.54,1,Gen X / Middle Aged,0.64
176,41,Male,Mobile,22.09,8,6,1,1,1,0,28.88,94.05,1,Millennials / Young Adults,0.36
177,58,Unknown,Tablet,14.9,5,6,6,1,1,1,11.77,10.05,1,Gen X / Middle Aged,0.34
178,29,Male,Mobile,9.33,5,4,4,0,0,0,13.07,96.31,1,Millennials / Young Adults,0.54
179,56,Male,Tablet,11.54,6,6,9,1,0,0,9.64,95.03,1,Gen X / Middle Aged,0.52
180,19,Female,Mobile,25.91,16,5,3,1,0,1,17.98,52.31,1,Gen Z / Youth,0.62
181,20,Female,Tablet,14.57,1,1,9,0,1,0,15.15,29.58,1,Gen Z / Youth,0.07
182,54,Male,Mobile,7.19,9,8,3,1,0,1,6.37,13.81,1,Gen X / Middle Aged,1.25
183,34,Female,Desktop,28.1,7,4,3,1,1,1,32.25,82.39,1,Millennials / Young Adults,0.25
184,19,Male,Mobile,24.1,11,1,8,0,1,0,34.12,60.47,1,Gen Z / Youth,0.46
185,19,Female,Mobile,2.61,15,5,6,0,1,1,3.76,65.13,1,Gen Z / Youth,5.75
186,45,Male,Mobile,29.97,5,9,6,1,0,1,21.8,86.09,1,Millennials / Young Adults,0.17
187,39,Female,Desktop,21.15,19,4,3,1,0,0,14.01,44.39,1,Millennials / Young Adults,0.9
188,54,Male,Mobile,5.65,6,7,8,1,1,1,8.14,36.81,1,Gen X / Middle Aged,1.06
189,49,Female,Mobile,7.88,14,7,7,0,1,0,10.34,76.23,1,Gen X / Middle Aged,1.78
190,50,Female,Unknown,21.08,14,9,9,1,1,1,16.06,29.72,1,Gen X / Middle Aged,0.66
191,18,Female,Tablet,23.61,11,9,3,0,0,1,30.81,32.79,1,Gen Z / Youth,0.47
193,19,Female,Mobile,8.45,10,9,3,1,0,0,6.37,85.64,1,Gen Z / Youth,1.18
194,43,Female,Mobile,9.91,2,12,0,0,0,1,14.305,77.91,1,Millennials / Young Adults,0.2
195,49,Female,Mobile,18.34,4,1,4,0,1,0,15.07,29.14,1,Gen X / Middle Aged,0.22
196,23,Male,Mobile,5.98,10,6,9,1,0,0,5.86,14.36,0,Gen Z / Youth,1.67
197,49,Male,Mobile,4.02,1,13,2,1,0,0,4.46,39.28,1,Gen X / Middle Aged,0.25
198,21,Female,Desktop,20.69,14,5,0,0,1,1,14.3,62.46,1,Gen Z / Youth,0.68
199,28,Unknown,Desktop,23.59,10,11,1,0,0,1,14.305,67.62,1,Millennials / Young Adults,0.42
200,34,Male,Mobile,15.53,12,11,1,0,0,1,18.73,20.04,1,Millennials / Young Adults,0.77
201,55,Male,Mobile,11.55,19,3,7,0,0,0,6.95,24.94,1,Gen X / Middle Aged,1.65
202,41,Female,Desktop,13.53,12,3,3,1,0,0,11.9,93.01,1,Millennials / Young Adults,0.89
203,22,Male,Mobile,12.26,5,11,2,0,0,0,13.63,38.51,1,Gen Z / Youth,0.41
204,51,Male,Desktop,28.84,4,5,3,0,0,0,41.13,31.41,1,Gen X / Middle Aged,0.14
205,23,Unknown,Mobile,23.27,13,8,9,1,0,1,32.37,69.57,1,Gen Z / Youth,0.56
206,39,Female,Mobile,7.03,18,9,0,1,1,0,4.71,46.79,1,Millennials / Young Adults,2.56
207,28,Female,Mobile,12.14,12,5,0,1,1,0,13.48,24.68,1,Millennials / Young Adults,0.99
208,33,Male,Desktop,16.78,16,5,4,1,0,1,10.03,40.93,1,Millennials / Young Adults,0.95
209,50,Female,Mobile,18.78,6,10,6,1,0,1,14.91,49.315,1,Gen X / Middle Aged,0.32
210,26,Female,Mobile,14.58,7,0,8,1,1,0,16.0,27.96,1,Millennials / Young Adults,0.48
211,23,Male,Mobile,24.49,9,4,6,1,0,1,14.24,41.85,1,Gen Z / Youth,0.37
212,33,Female,Desktop,23.26,10,14,4,0,0,0,32.3,51.8,1,Millennials / Young Adults,0.43
213,46,Male,Tablet,15.65,5,0,2,0,0,1,20.8,74.17,1,Gen X / Middle Aged,0.32
214,20,Male,Mobile,25.78,4,10,7,1,0,1,25.09,38.49,1,Gen Z / Youth,0.16
215,37,Male,Mobile,22.78,11,13,6,0,1,1,22.59,54.57,1,Millennials / Young Adults,0.48
216,53,Male,Tablet,15.76,19,8,5,0,1,0,32.57,95.1,1,Gen X / Middle Aged,1.21
217,36,Male,Mobile,28.74,7,9,0,1,0,1,15.82,81.83,1,Millennials / Young Adults,0.24
218,43,Male,Mobile,8.73,13,3,2,0,1,0,5.62,23.7,1,Millennials / Young Adults,1.49
219,20,Female,Mobile,8.76,13,1,7,0,0,0,7.08,21.35,1,Gen Z / Youth,1.48
220,36,Female,Desktop,26.78,18,8,1,0,1,1,23.15,66.27,1,Millennials / Young Adults,0.67
222,49,Male,Desktop,27.87,13,13,3,1,1,0,18.04,54.69,1,Gen X / Middle Aged,0.47
223,24,Female,Mobile,2.83,13,10,6,0,0,1,2.27,15.42,1,Gen Z / Youth,4.59
224,58,Male,Mobile,19.2,5,12,9,0,0,1,25.5,36.26,1,Gen X / Middle Aged,0.26
225,50,Female,Desktop,5.19,12,9,6,1,1,0,6.67,75.94,1,Gen X / Middle Aged,2.31
226,57,Male,Mobile,15.61,1,2,7,0,1,0,18.03,49.315,1,Gen X / Middle Aged,0.06
227,56,Female,Mobile,5.52,18,12,6,1,0,0,4.57,16.52,1,Gen X / Middle Aged,3.26
228,35,Male,Desktop,4.71,17,11,3,0,1,0,2.91,42.69,1,Millennials / Young Adults,3.61
229,57,Female,Desktop,1.35,10,1,6,0,1,1,2.0,44.27,1,Gen X / Middle Aged,7.41
230,18,Male,Desktop,19.28,9,5,4,1,0,0,14.49,50.86,1,Gen Z / Youth,0.47
231,28,Female,Tablet,11.41,8,9,9,1,1,1,15.34,46.12,1,Millennials / Young Adults,0.7
232,45,Male,Desktop,4.05,15,5,6,1,0,0,5.65,50.17,1,Millennials / Young Adults,3.7
233,42,Female,Mobile,10.36,13,13,2,0,1,0,9.75,81.31,1,Millennials / Young Adults,1.25
234,40,Female,Mobile,5.9,17,11,9,1,0,1,7.97,38.95,1,Millennials / Young Adults,2.88
235,48,Female,Desktop,28.31,9,11,6,1,0,1,22.05,55.2,1,Gen X / Middle Aged,0.32
236,47,Male,Mobile,10.28,11,8,6,0,1,1,14.29,60.68,1,Gen X / Middle Aged,1.07
237,59,Male,Desktop,10.68,4,4,1,1,0,0,12.13,94.23,1,Gen X / Middle Aged,0.37
238,52,Male,Desktop,25.36,7,10,7,0,0,1,17.61,65.47,1,Gen X / Middle Aged,0.28
240,33,Male,Tablet,21.59,10,7,8,1,0,0,30.52,58.25,1,Millennials / Young Adults,0.46
241,43,Female,Mobile,19.44,3,11,3,1,1,1,20.81,66.19,1,Millennials / Young Adults,0.15
242,19,Male,Mobile,15.76,1,8,8,0,1,0,35.85,0.95,1,Gen Z / Youth,0.06
243,18,Female,Tablet,7.0,14,12,0,1,0,0,9.06,7.53,1,Gen Z / Youth,2.0
244,29,Female,Mobile,29.68,13,4,4,0,1,0,38.21,1.9,1,Millennials / Young Adults,0.44
245,22,Male,Mobile,25.1,5,1,9,1,1,1,23.96,4.83,1,Gen Z / Youth,0.2
246,54,Female,Mobile,18.08,8,0,6,1,0,0,22.42,8.97,1,Gen X / Middle Aged,0.44
247,49,Male,Desktop,20.21,12,8,3,0,1,0,21.19,95.78,1,Gen X / Middle Aged,0.59
248,26,Male,Desktop,19.82,6,9,6,0,0,0,18.13,20.67,1,Millennials / Young Adults,0.3
249,58,Male,Desktop,2.69,2,7,8,1,1,0,1.79,20.46,1,Gen X / Middle Aged,0.74
250,52,Female,Desktop,7.32,4,2,4,0,0,1,10.31,85.74,1,Gen X / Middle Aged,0.55
251,36,Male,Mobile,28.88,5,14,4,1,1,1,26.42,75.28,1,Millennials / Young Adults,0.17
252,33,Male,Desktop,16.5,11,11,1,1,0,0,12.2,67.58,1,Millennials / Young Adults,0.67
253,20,Male,Desktop,11.97,13,5,4,0,0,0,8.89,42.17,1,Gen Z / Youth,1.09
254,37,Female,Mobile,23.1,8,9,7,0,1,0,17.14,3.12,1,Millennials / Young Adults,0.35
255,41,Male,Mobile,16.21,5,3,3,0,0,0,8.15,82.65,1,Millennials / Young Adults,0.31
256,50,Female,Tablet,1.38,6,13,1,1,0,1,1.29,86.08,1,Gen X / Middle Aged,4.35
257,41,Female,Desktop,22.35,15,8,7,1,0,1,31.08,48.18,1,Millennials / Young Adults,0.67
258,28,Male,Desktop,22.23,16,14,3,0,1,1,11.67,64.49,1,Millennials / Young Adults,0.72
259,25,Female,Desktop,5.79,11,1,4,0,0,1,8.43,47.77,1,Gen Z / Youth,1.9
260,53,Female,Mobile,28.74,7,13,6,1,1,1,19.52,29.62,1,Gen X / Middle Aged,0.24
261,55,Male,Desktop,7.49,6,10,4,1,1,1,9.13,49.315,1,Gen X / Middle Aged,0.8
262,57,Male,Mobile,14.27,12,11,9,0,1,0,18.34,68.86,1,Gen X / Middle Aged,0.84
263,37,Male,Mobile,4.33,4,14,3,0,0,0,5.35,15.46,1,Millennials / Young Adults,0.92
